,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
47329|FOXA1,0.0000000000000000000000000760354670225996689478084074411401674415174871669039681573223119910226131593917885813750409499834170394243066792410737321909969740176922171442206691670356073645919811283479817852967462683352890187502,Homo sapiens,FOXA1,tf,DU145,Epithelium,Prostate,1,FOXA1
68975|PR,0.000000000000000016677819901572029682318446498972700504680391702570284208279310817425466223583812997780664201668299796072986929401378583327362615114260442114952469889080291955999346711267712225909423263060367702185886,Homo sapiens,PR,predicted transcription factor,T47D,None,Breast,1,PR
50122|LMNB1,0.000000000000000021125226955191324426922612675353061423199668893593453153157469228647582473133916980653819179055985256156629377391297792367851230420155330423648235197482001871329583477047754275925007214538397102295208,Homo sapiens,LMNB1,not sure,IMR90,Fibroblast,Lung,1,LMNB1
54134|CEBPB,0.000000000000000025902519050108449723528957835980449311723979197439584092220127194807961274617707187074062777250951859882656704230995136458002432549694746622129274799900522530439796057370380334175685325116155926426065,Homo sapiens,CEBPB,tf,None,Mesenchymal Stem Cell,None,1,CEBPB
71746|SOX4,0.00000000000000011032679627410172639255254158932408444783786875866132097503444152573697731280816643080304584091076230421715932493431125602167593271593131835521374989265799641333045079476342854512657740107746683659098,Homo sapiens,SOX4,tf,None,Fibroblast,Fetal Lung,1,SOX4
34390|SMARCA4,0.000000000000001331553774362155185489357807356141125022153019418201404616730821205754753674767937190502976319430398575491150320260679251674317610439690474910812255499150794370162817180822851030526723432978489212957,Homo sapiens,SMARCA4,cr,None,None,None,1,SMARCA4
56668|HOXB13,4.9404924595819466e-15,Homo sapiens,HOXB13,tf,LHSAR,Epithelium,Prostate,1,HOXB13
57641|HDAC1,1.6209256159527285e-14,Homo sapiens,HDAC1,cr,Nalm6,B cell precursor,Blood,1,HDAC1
55563|MEF2B,3.780309398848658e-14,Homo sapiens,MEF2B,tf,None,B Lymphocyte,None,1,MEF2B
73714|AFF1,6.09512440519211e-14,Homo sapiens,AFF1,tf,SEM,B Lymphocyte,None,1,AFF1
52683|FOXA2,2.99482660892636e-13,Homo sapiens,FOXA2,tf,CyT49,Embryonic Stem Cell,Embryo,1,FOXA2
33917|WDR5,4.3431924723336124e-13,Homo sapiens,WDR5,cr,NHEK,Keratinocyte,Skin,1,WDR5
72793|LMNA,1.150579631570281e-12,Homo sapiens,LMNA,not sure,HeLa,Epithelium,Cervix,1,LMNA
33707|SOX2,2.1914137171563652e-12,Homo sapiens,SOX2,tf,BJ,Fibroblast,Skin,1,SOX2
41490|RNF2,3.0561997377276384e-11,Homo sapiens,RNF2,predicted transcription factor,DU145,Epithelium,Prostate,1,RNF2
72703|NUP98-HOXA9,6.411426944907817e-11,Homo sapiens,NUP98-HOXA9,other,HEK293FT,None,Kidney,1,NUP98-HOXA9
72552|TRIM28,8.291672903837366e-11,Homo sapiens,TRIM28,cr,None,Neural Progenitor Cell,None,1,TRIM28
41492|BMI1,8.94503915382927e-11,Homo sapiens,BMI1,cr,DU145,Epithelium,Prostate,1,BMI1
38496|RBL1,1.5374379547239414e-10,Homo sapiens,RBL1,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1,RBL1
41489|RING1,2.2034118973834893e-10,Homo sapiens,RING1,cr,DU145,Epithelium,Prostate,1,RING1
68074|AR,2.348942151897404e-10,Homo sapiens,AR,tf,LNCaP,Epithelium,Prostate,1,AR
65125|PRDM6,2.386800757037122e-10,Homo sapiens,PRDM6,,HEK293,Epithelium,Embryonic Kidney,1,PRDM6
67503|GATA3,2.563967371749243e-10,Homo sapiens,GATA3,tf,MDA-MB-231,Epithelium,Mammary Gland,1,GATA3
76857|ZMYND8,3.5718356050651323e-10,Homo sapiens,ZMYND8,cr,HEK293,None,Kidney,1,ZMYND8
74571|MAZ,3.978393170456229e-10,Homo sapiens,MAZ,tf,T778,None,None,1,MAZ
77298|TRIM25,4.1664716121658785e-10,Homo sapiens,TRIM25,,None,None,Breast,1,TRIM25
34962|KMT2A,6.33234187308318e-10,Homo sapiens,KMT2A,not sure,RS4,B Lymphocyte,None,1,KMT2A
75286|ZBTB48,8.381413341140842e-10,Homo sapiens,ZBTB48,,HeLa,None,None,1,ZBTB48
74643|NFATC3,9.290609948031658e-10,Homo sapiens,NFATC3,tf,HepG2,Epithelium,Liver,1,NFATC3
52428|MYC,1.1816476130910303e-09,Homo sapiens,MYC,tf,HEK293,Epithelium,Embryonic Kidney,1,MYC
67858|TET2,1.5304156275597336e-09,Homo sapiens,TET2,cr,HEK293T,Epithelium,Embryonic Kidney,1,TET2
41411|ERCC3,2.6077505710375704e-09,Homo sapiens,ERCC3,predicted chromatin regulator,HT1080,None,Connective Tissue,1,ERCC3
77331|SP140,3.0731696631924876e-09,Homo sapiens,SP140,tf,None,Macrophage,None,1,SP140
51863|HSF1,4.058798297457145e-09,Homo sapiens,HSF1,tf,451Lu,Melanoma Cell,None,1,HSF1
68976|ESR1,7.305728355611052e-09,Homo sapiens,ESR1,tf,T47D,None,Breast,1,ESR1
67748|GATA2,7.45705669435992e-09,Homo sapiens,GATA2,tf,LNCaP,Epithelium,Prostate,1,GATA2
70162|TEAD4,7.869531859494572e-09,Homo sapiens,TEAD4,tf,BE2-C,Neuroblastoma cell,Bone Marrow,1,TEAD4
67532|BRD4,1.5042677770082946e-08,Homo sapiens,BRD4,cr,COLO-741,None,None,1,BRD4
74361|OTX2,1.518017295198959e-08,Homo sapiens,OTX2,tf,D283 Med,None,None,1,OTX2
41573|ING5,2.239994273400825e-08,Homo sapiens,ING5,predicted chromatin regulator,RKO,Epithelium,Colon,1,ING5
63808|HLF,2.883378114049151e-08,Homo sapiens,HLF,,HepG2,Epithelium,Liver,1,HLF
76859|IRAK1,3.14197634021518e-08,Homo sapiens,IRAK1,other,HEK293,Epithelium,Embryonic Kidney,1,IRAK1
76854|CDCA2,5.4244170433204175e-08,Homo sapiens,CDCA2,other,HeLa,Epithelium,Cervix,1,CDCA2
43893|HOXC9,1.8227454201547033e-07,Homo sapiens,HOXC9,tf,BE2-C,Neuroblast,Brain,1,HOXC9
69558|PSIP1,2.0259262362154473e-07,Homo sapiens,PSIP1,predicted transcription factor,MV4-11,Leukemia Cell,None,1,PSIP1
