,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
47329|FOXA1,0.000000000000000005354932268287545838543314292391219627793286312344425477732352158348062909232558766536051454032339004431073031337633440544925886622882102527386399336679874750874112314507180818048193168944388336048003,Homo sapiens,FOXA1,tf,DU145,Epithelium,Prostate,1,FOXA1
52683|FOXA2,0.0000000000000004369537192915717919505267888113087977245133775670059828519023315697921478452317606551846697662999947705492096870126600907790507370673315792010653212478759265124673386812574907779576866789559550556506,Homo sapiens,FOXA2,tf,CyT49,Embryonic Stem Cell,Embryo,1,FOXA2
34389|SMARCA4,0.0000000000000028384235378294115619806981720569598801814959547937553027613929751811817092126077406740905583746108934583444364720788343464542247441356393656241644434670320620368867181936815309179367223984277686754996,Homo sapiens,SMARCA4,cr,None,None,None,1,SMARCA4
68975|PR,1.1546319456101628e-14,Homo sapiens,PR,predicted transcription factor,T47D,None,Breast,1,PR
50122|LMNB1,2.2148949341271873e-14,Homo sapiens,LMNB1,not sure,IMR90,Fibroblast,Lung,1,LMNB1
71746|SOX4,3.058664432842306e-14,Homo sapiens,SOX4,tf,None,Fibroblast,Fetal Lung,1,SOX4
33707|SOX2,3.524958103184872e-14,Homo sapiens,SOX2,tf,BJ,Fibroblast,Skin,1,SOX2
72703|NUP98-HOXA9,1.762479051592436e-13,Homo sapiens,NUP98-HOXA9,other,HEK293FT,None,Kidney,1,NUP98-HOXA9
54134|CEBPB,8.331668688299487e-13,Homo sapiens,CEBPB,tf,None,Mesenchymal Stem Cell,None,1,CEBPB
56668|HOXB13,1.207201005826164e-12,Homo sapiens,HOXB13,tf,LHSAR,Epithelium,Prostate,1,HOXB13
57641|HDAC1,4.2985282000529423e-11,Homo sapiens,HDAC1,cr,Nalm6,B cell precursor,Blood,1,HDAC1
55563|MEF2B,8.879225132929491e-11,Homo sapiens,MEF2B,tf,None,B Lymphocyte,None,1,MEF2B
72793|LMNA,5.425087601373946e-10,Homo sapiens,LMNA,not sure,HeLa,Epithelium,Cervix,1,LMNA
65125|PRDM6,5.91636906133175e-10,Homo sapiens,PRDM6,,HEK293,Epithelium,Embryonic Kidney,1,PRDM6
33917|WDR5,6.072485292385466e-10,Homo sapiens,WDR5,cr,NHEK,Keratinocyte,Skin,1,WDR5
75278|ZBTB48,8.411024654542132e-10,Homo sapiens,ZBTB48,,U2OS,None,None,1,ZBTB48
38496|RBL1,1.1433017865769557e-09,Homo sapiens,RBL1,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1,RBL1
41490|RNF2,1.2399449245137362e-09,Homo sapiens,RNF2,predicted transcription factor,DU145,Epithelium,Prostate,1,RNF2
52428|MYC,4.132070408058297e-09,Homo sapiens,MYC,tf,HEK293,Epithelium,Embryonic Kidney,1,MYC
74643|NFATC3,4.255282348708533e-09,Homo sapiens,NFATC3,tf,HepG2,Epithelium,Liver,1,NFATC3
41411|ERCC3,6.263402907435989e-09,Homo sapiens,ERCC3,predicted chromatin regulator,HT1080,None,Connective Tissue,1,ERCC3
41492|BMI1,7.17427961482997e-09,Homo sapiens,BMI1,cr,DU145,Epithelium,Prostate,1,BMI1
72089|AFF1,1.0607186684552516e-08,Homo sapiens,AFF1,tf,None,Leukemic cells,Bone Marrow,1,AFF1
5822|DUX4,1.908610663958754e-08,Homo sapiens,DUX4,other,None,Myoblast,Muscle,1,DUX4
41412|ERCC2,6.677781111408265e-08,Homo sapiens,ERCC2,tf,HT1080,None,Connective Tissue,1,ERCC2
48692|H3F3B,1.9410438106826078e-07,Homo sapiens,H3F3B,other,None,Spermatid,None,1,H3F3B
67748|GATA2,2.7995834439575873e-07,Homo sapiens,GATA2,tf,LNCaP,Epithelium,Prostate,1,GATA2
67858|TET2,5.177311870885326e-07,Homo sapiens,TET2,cr,HEK293T,Epithelium,Embryonic Kidney,1,TET2
76995|GLI2,5.725856787597294e-07,Homo sapiens,GLI2,tf,THP-1,None,None,1,GLI2
41489|RING1,9.759648397222875e-07,Homo sapiens,RING1,cr,DU145,Epithelium,Prostate,1,RING1
50047|AR,1.0609345892920174e-06,Homo sapiens,AR,tf,LNCaP,Epithelium,Prostate,0,AR
76967|MBOAT4,1.0911782206135534e-06,Homo sapiens,MBOAT4,other,HeLa,Epithelium,Cervix,1,MBOAT4
44026|AGO1,1.1707616651701613e-06,Homo sapiens,AGO1,other,PC-3,Epithelium,Prostate,1,AGO1
63809|HLF,2.499366854480378e-06,Homo sapiens,HLF,,HepG2,Epithelium,Liver,1,HLF
54612|TEAD1,5.175165023185713e-06,Homo sapiens,TEAD1,tf,SF268,None,None,1,TEAD1
74361|OTX2,6.172461312292654e-06,Homo sapiens,OTX2,tf,D283 Med,None,None,1,OTX2
50899|LHX2,6.245007920513412e-06,Homo sapiens,LHX2,tf,6540 cells,Epithelium,None,1,LHX2
