,pval,lpval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
47329|FOXA1,5.35493226828755E-18,-17.2712460179591,Homo sapiens,FOXA1,tf,DU145,Epithelium,Prostate,1,FOXA1
52683|FOXA2,4.36953719291572E-16,-15.3595645596444,Homo sapiens,FOXA2,tf,CyT49,Embryonic Stem Cell,Embryo,1,FOXA2
34389|SMARCA4,2.83842353782941E-15,-14.5469228004155,Homo sapiens,SMARCA4,cr,None,None,None,1,SMARCA4
68975|PR,1.15463194561016E-14,-13.9375564308922,Homo sapiens,PR,predicted transcription factor,T47D,None,Breast,1,PR
50122|LMNB1,2.21489493412719E-14,-13.6546468701682,Homo sapiens,LMNB1,not sure,IMR90,Fibroblast,Lung,1,LMNB1
71746|SOX4,3.05866443284231E-14,-13.5144681670032,Homo sapiens,SOX4,tf,None,Fibroblast,Fetal Lung,1,SOX4
33707|SOX2,3.52495810318487E-14,-13.452846040563,Homo sapiens,SOX2,tf,BJ,Fibroblast,Skin,1,SOX2
72703|NUP98-HOXA9,1.76247905159244E-13,-12.753876036227,Homo sapiens,NUP98-HOXA9,other,HEK293FT,None,Kidney,1,NUP98-HOXA9
54134|CEBPB,8.33166868829949E-13,-12.0792680082519,Homo sapiens,CEBPB,tf,None,Mesenchymal Stem Cell,None,1,CEBPB
56668|HOXB13,1.20720100582616E-12,-11.9182204113831,Homo sapiens,HOXB13,tf,LHSAR,Epithelium,Prostate,1,HOXB13
57641|HDAC1,4.29852820005294E-11,-10.366680219772,Homo sapiens,HDAC1,cr,Nalm6,B cell precursor,Blood,1,HDAC1
55563|MEF2B,8.87922513292949E-11,-10.0516249323268,Homo sapiens,MEF2B,tf,None,B Lymphocyte,None,1,MEF2B
72793|LMNA,5.42508760137395E-10,-9.26559324467093,Homo sapiens,LMNA,not sure,HeLa,Epithelium,Cervix,1,LMNA
65125|PRDM6,5.91636906133175E-10,-9.22794474267031,Homo sapiens,PRDM6,,HEK293,Epithelium,Embryonic Kidney,1,PRDM6
33917|WDR5,6.07248529238547E-10,-9.21663352838674,Homo sapiens,WDR5,cr,NHEK,Keratinocyte,Skin,1,WDR5
75278|ZBTB48,8.41102465454213E-10,-9.07515109401104,Homo sapiens,ZBTB48,,U2OS,None,None,1,ZBTB48
38496|RBL1,1.14330178657696E-09,-8.94183911785873,Homo sapiens,RBL1,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1,RBL1
41490|RNF2,1.23994492451374E-09,-8.90659760476597,Homo sapiens,RNF2,predicted transcription factor,DU145,Epithelium,Prostate,1,RNF2
52428|MYC,4.1320704080583E-09,-8.3838322869659,Homo sapiens,MYC,tf,HEK293,Epithelium,Embryonic Kidney,1,MYC
74643|NFATC3,4.25528234870853E-09,-8.37107161808989,Homo sapiens,NFATC3,tf,HepG2,Epithelium,Liver,1,NFATC3
