,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
65186|EGR3,0.0000000000000000000000000009520082905083339076552063839101806610371213425721041886362529237934071173006944295791245490137122329832118244124404018473443204543268442513613401860959248381110975461136369864388083703938423128940407,Homo sapiens,EGR3,,HEK293,Epithelium,Embryonic Kidney,1,EGR3
46298|EGR1,0.000000000000000000000000039870485049840768911524156733233981735410480278457277546801428912792390082301251653513093547761908789881784276604836521913407025956847182601362672508520987066447720155484114510303623031818790320537055,Homo sapiens,EGR1,tf,K562,Erythroblast,Bone Marrow,1,EGR1
32856|TERC,0.00000000000000000000000042410369881661397111654481976506548032704710525916994388109609788538477066434214105060917442536049208702444904799013808097991269908821020736774928472097554922700770329567222511096116052179287947030385,Homo sapiens,TERC,other,HeLa,Epithelium,Cervix,1,TERC
63844|ZBTB33,0.00000000000000000000000083060864132930522540081525513227439727332938016231887871529047458534783697380415072899955099882384756111894923517348183145401113167605867500535503052990672956766532786787201604504651289793440461293171,Homo sapiens,ZBTB33,tf,HEK293,Epithelium,Embryonic Kidney,1,ZBTB33
57114|LEF1,0.0000000000000000000000010691322341588597956977813364965134836917800666552743389784436643784833421088177176774602539975180893085373657912840203029406581705407328009924120722134907175560149343040083217193721132190442211008401,Homo sapiens,LEF1,tf,RL95-2,None,Uterus,1,LEF1
49464|552-SKD,0.0000000000000000000000037367893084086168856385149226684991854220061789321470692817999221798973174641647893917179088783636638720112368264583141506140732265943219801758202799815851764759052771761954988435671538929937337923764,Homo sapiens,552-SKD,other,MCF-7,Epithelium,Breast,1,552-SKD
37173|MAX,0.0000000000000000000002118955244795344736847159750526531564342062637552307982313354616096800294471924176262855852467042778533773460891681619833944684839760116169578667910746216713857387078836978468165565898254114124209273,Homo sapiens,MAX,tf,H2171,Epithelium,Lung,1,MAX
74909|POLR3D,0.00000000000000000000080786969650126731244486758721250135088092033579237579982232599710811656290032971790796508217605347437511900307867079272823026736865854901973423220867889526123965157855867780613622473124941718378611463,Homo sapiens,POLR3D,tf,THP-1,Monocyte,None,0,POLR3D
37175|MYC,0.0000000000000000000029705098369446034619703935155740130109771033640800126038170633881047380352490721474672252689577197655824138678014155635960597750986573484881338199296729854372301490913510139784411514031864476426431639,Homo sapiens,MYC,tf,H2171,Epithelium,Lung,1,MYC
65110|SP4,0.0000000000000000000048645348788737810435962702993020648438366664594907765795796926294443750652449565583677516654214226698591045844167107529604351237841862510673754363298106704692424319134802722043540745119652858250858032,Homo sapiens,SP4,tf,HEK293,Epithelium,Embryonic Kidney,1,SP4
65151|SP1,0.0000000000000000000058775549161187943955873015732042472814204634390828437359394580078018588525592497689028293788205304490317031189574423073161706827770942449144150469084888520867999175968749856418944360015289358909417757,Homo sapiens,SP1,predicted chromatin regulator,HEK293,Epithelium,Embryonic Kidney,1,SP1
74654|ZMYM3,0.0000000000000000000059546775185554496133681497817953108169808861927977321476080835056267533059555389054280602702797005295580864654234936049794964243093660770412056917672532435354829354976081286323759105092311420617458916,Homo sapiens,ZMYM3,,K562,Erythroblast,Bone Marrow,1,ZMYM3
