,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
47330|FOXA1,5.8849855561593015318015846412235639978999260057311217928871841407103688865509966874922726843800342438938762660584249401137327216042120589468336517749638762410402366073771347857919176719481556203680067e-82,Homo sapiens,FOXA1,tf,DU145,Epithelium,Prostate,1,FOXA1
74643|NFATC3,2.0166269040623673783768578558412011882465764132254370261373022181251725259622909457073959846426176604347478442569893887411356234186238157554971012755190807583236601620295713821913416717918844090184944e-80,Homo sapiens,NFATC3,tf,HepG2,Epithelium,Liver,1,NFATC3
57641|HDAC1,1.5180145831468776760498288093214206537322898343357758666810633983822497256257001569266653712793910261219878479853015029486925379515852492932817069599061495863437534324205155223343720436541394773644341e-75,Homo sapiens,HDAC1,cr,Nalm6,B cell precursor,Blood,1,HDAC1
73696|LEO1,5.1087956164226474852977251319255199635744062747500416495392113028920654791884014874944653524681425224940373120760024681825535372846783740767418964692785260747070336473241309951759277600727717909792135e-74,Homo sapiens,LEO1,predicted chromatin regulator,SEM,B Lymphocyte,None,1,LEO1
50122|LMNB1,1.5655210312434392259788154714317975475375550369056723802267220509920666219140739753835300703461720070913570318905444693094457470632424675284237731476951070776637187943847628019692105735306648647803781e-73,Homo sapiens,LMNB1,not sure,IMR90,Fibroblast,Lung,1,LMNB1
41573|ING5,5.8816246028156946825096116715849071359012031301578750956964895695226592883387690551724415416156258598036092236692360319753215444502161821962341931102683411962301703522036694782980486929581271481662285e-73,Homo sapiens,ING5,predicted chromatin regulator,RKO,Epithelium,Colon,1,ING5
41411|ERCC3,3.9920601734026423536323530869515445674889608784466708033334038497456547566959706750598071459335023272139172244647935114185704128150895919372830781350282410159987127959163223234071843984562587838584615e-70,Homo sapiens,ERCC3,predicted chromatin regulator,HT1080,None,Connective Tissue,1,ERCC3
9230|CBX3,1.5469681694812858270451003160194614493269553585982285715419922537868185464823477729642390282176779896642014408930620016817878994727030894794745557445629327322087743761414178171478598833976470665112961e-67,Homo sapiens,CBX3,cr,HCT-116,None,Colon,1,CBX3
72089|AFF1,1.9675644897457627976242715424671511668501176677801372886284443330675679914721667655348596690404311991673047761740788414024060288139566734331463677950311417073926388076139668740211111881006738195026532e-66,Homo sapiens,AFF1,tf,None,Leukemic cells,Bone Marrow,1,AFF1
52428|MYC,0.0000000000000000000000000000000000000000000000000000000000000011508012788801904765279198304351492129391646269796969307742942678665236096689525772996041834249849854169664487570359995695661255307760992366976817599383920481801482649537700366006291169407534136026007,Homo sapiens,MYC,tf,HEK293,Epithelium,Embryonic Kidney,1,MYC
38496|RBL1,0.000000000000000000000000000000000000000000000000000000000000026903830790997120574973312559730269525155265495623137749972273124382764180434005644269426110120265222078354708537674763388750092392228484555040664314381503192014210101110145528838979897348151206253852,Homo sapiens,RBL1,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1,RBL1
71746|SOX4,0.000000000000000000000000000000000000000000000000000000000027642624078971414688394738633643275844495906051895955445085450077886411452227612801846028919695572522133035156562570743304130824549246848717244828958146881478633493220646732447788548406769096678995205,Homo sapiens,SOX4,tf,None,Fibroblast,Fetal Lung,1,SOX4
53323|INTS3,0.0000000000000000000000000000000000000000000000000000000019921450089670963127357776500143083087585170741305545749915732352592788556043881089516882078099544703882422965724183698611261690546314021570425729960318504917359056834875779710010229999603935082191932,Homo sapiens,INTS3,predicted transcription factor,HeLa,Epithelium,Cervix,1,INTS3
75850|BRD4,0.0000000000000000000000000000000000000000000000000000000049887297323236395585583062515660847918698278114696763258337122028685201588897989383059243338761121165299589560583933718608819566202789788376519529500198202390534135186503382715927167875307240682570322,Homo sapiens,BRD4,cr,Rh4,rhabdomyosarcoma,None,1,BRD4
37625|MYH11,0.00000000000000000000000000000000000000000000000000000017758533439622663263070483315238678030473426362035438092594183956946342112829674563380703865248905864168169313670934027823698016343254298739988064868582918983868674521055560929868613971119119970254154,Homo sapiens,MYH11,not sure,U937,None,Pleura,1,MYH11
